Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
FJ6EF8PB,journalArticle,2012,"Meade, Adam W.; Craig, S. Bartholomew",Identifying careless responses in survey data,Psychological Methods,,1082-989X,10.1037/a0028085,https://proxying.lib.ncsu.edu/index.php?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2012-10015-001&site=ehost-live&scope=site,"When data are collected via anonymous Internet surveys, particularly under conditions of obligatory participation (such as with student samples), data quality can be a concern. However, little guidance exists in the published literature regarding techniques for detecting careless responses. Previously several potential approaches have been suggested for identifying careless respondents via indices computed from the data, yet almost no prior work has examined the relationships among these indicators or the types of data patterns identified by each. In 2 studies, we examined several methods for identifying careless responses, including (a) special items designed to detect careless response, (b) response consistency indices formed from responses to typical survey items, (c) multivariate outlier analysis, (d) response time, and (e) self-reported diligence. Results indicated that there are two distinct patterns of careless response (random and nonrandom) and that different indices are needed to identify these different response patterns. We also found that approximately 10%–12% of undergraduates completing a lengthy survey for course credit were identified as careless responders. In Study 2, we simulated data with known random response patterns to determine the efficacy of several indicators of careless response. We found that the nature of the data strongly influenced the efficacy of the indices to identify careless responses. Recommendations include using identified rather than anonymous responses, incorporating instructed response items before data collection, as well as computing consistency indices and multivariate outlier analysis to ensure high-quality data. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2012-09,9/8/22 21:39,10/5/22 23:11,6/8/21 16:02,437-455,,3,17,,Psychological Methods,,,,,,,,,,,,2012-10015-001,EBSCOhost,,Publisher: American Psychological Association,,/Users/corymoore/Zotero/storage/A7S7HSXW/Meade_Craig_2012_Identifying careless responses in survey data.pdf; /Users/corymoore/Zotero/storage/7VHGXFIT/Meade_Craig_2012_Identifying careless responses in survey data.pdf; /Users/corymoore/Zotero/storage/JI4U4QY7/2012-10015-001.html,,,careless response; data cleaning; Data Collection; data screening; Humans; Internet; Logistic Models; mixture modeling; Mixture Modeling; random response; Reaction Time; Research Design; Responses; Self Report; Statistical Data; Surveys; Surveys and Questionnaires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6ZLI6UR,journalArticle,2012,"Huang, Jason; Curran, Paul; Keeny, Jessica; Poposki, Elizabeth; DeShon, Richard",Detecting and Deterring Insufficient Effort Responding to Surveys,Journal of Business and Psychology,,,10.1007/s10869-011-9231-8,https://scite.ai/reports/detecting-and-deterring-insufficient-effort-Ed2R6b,"Supporting: 20, Contrasting: 1, Mentioning: 599 - Detecting and Deterring Insufficient Effort Responding to Surveys - Jason L. Huang, Paul G. Curran, Jessica Keeney, Elizabeth M. Poposki, Richard P. DeShon",2012,9/8/22 21:39,10/6/22 19:06,7/19/22 14:54,,,1,27,,,,,,,,,,en,,,,,scite.ai,,,,/Users/corymoore/Zotero/storage/TZQ7VA8W/Huang et al_2012_Detecting and Deterring Insufficient Effort Responding to Surveys.pdf; /Users/corymoore/Zotero/storage/LISJJQHI/detecting-and-deterring-insufficient-effort-Ed2R6b.html,,,Careless responding; Data screening; Inconsistent responding; Industrial and Organizational Psychology; insufficient effort responding; Online surveys; organizational research; psychometrics; Psychometrics; Random responding; Responses; surveys; Surveys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6NVZIXG4,journalArticle,2016,"Curran, Paul G.",Methods for the detection of carelessly invalid responses in survey data,Journal of Experimental Social Psychology,,0022-1031,10.1016/j.jesp.2015.07.006,https://www.sciencedirect.com/science/article/pii/S0022103115000931,"Self-report data collections, particularly through online measures, are ubiquitous in both experimental and non-experimental psychology. Invalid data can be present in such data collections for a number of reasons. One reason is careless or insufficient effort (C/IE) responding. The past decade has seen a rise in research on techniques to detect and remove these data before normal analysis (Huang, Curran, Keeney, Poposki, & DeShon, 2012; Johnson, 2005; Meade & Craig, 2012). The rigorous use of these techniques is valuable tool for the removal of error that can impact survey results (Huang, Liu, & Bowling, 2015). This research has encompassed a number of sub-fields of psychology, and this paper aims to integrate different perspectives into a review and assessment of current techniques, an introduction of new techniques, and a generation of recommendations for practical use. Concerns about C/IE responding are a factor any time self-report data are collected, and all such researchers should be well-versed on methods to detect this pattern of response.",9/1/16,9/8/22 21:39,10/6/22 20:56,7/19/22 16:20,19-Apr,,,66,,Journal of Experimental Social Psychology,,Rigorous and Replicable Methods in Social Psychology,,,,,,en,,,,,ScienceDirect,,,,/Users/corymoore/Zotero/storage/M8GAY5YY/Curran - 2016 - Methods for the detection of carelessly invalid re.pdf; /Users/corymoore/Zotero/storage/AEYKJXLE/Curran_2016_Methods for the detection of carelessly invalid responses in survey data.pdf; ; /Users/corymoore/Zotero/storage/VQIK3E5I/S0022103115000931.html; /Users/corymoore/Zotero/storage/UEBV55H3/Curran - 2016 - Methods for the detection of carelessly invalid re.pdf,https://proxying.lib.ncsu.edu/index.php?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-38616-001&site=ehost-live&scope=site&scope=cite,,Careless responding; Data cleaning; Data Collection; Energy Expenditure; Error Analysis; Errors; Experimental Methods; Insufficient effort responding; Invalid response; Methodology; Responses; Self-Report; Surveys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8VLS8VYD,journalArticle,2014,"Maniaci, Michael R.; Rogge, Ronald D.",Caring about carelessness: Participant inattention and its effects on research,Journal of Research in Personality,,0092-6566,10.1016/j.jrp.2013.09.008,https://www.sciencedirect.com/science/article/pii/S009265661300127X,"The current studies examined the adverse effects of inattentive responding on compliance with study tasks, data quality, correlational analyses, experimental manipulations, and statistical power. Results suggested that 3–9% of respondents engaged in highly inattentive responding, forming latent classes consistent with prior work that converged across existing indices (e.g., long-string index, multivariate outliers, even–odd consistency, psychometric synonyms and antonyms) and new measures of inattention (the Attentive Responding Scale and the Directed Questions Scale). Inattentive respondents provided self-report data of markedly poorer quality, sufficient to obscure meaningful regression results as well as the effects of experimental manipulations. Screening out inattentive respondents improved statistical power, helping to mitigate the notable drops in power and estimated effect sizes caused by inattention.",2/1/14,9/8/22 21:39,10/5/22 22:59,7/19/22 15:02,61-83,,,48,,Journal of Research in Personality,Caring about carelessness,,,,,,,en,,,,,ScienceDirect,,,,/Users/corymoore/Zotero/storage/DXP5GFSL/Maniaci_Rogge_2014_Caring about carelessness.pdf; /Users/corymoore/Zotero/storage/S6XUWT4K/Maniaci_Rogge_2014_Caring about carelessness.pdf; /Users/corymoore/Zotero/storage/F9DTQFVD/Maniaci and Rogge - 2014 - Caring about carelessness Participant inattention.pdf; /Users/corymoore/Zotero/storage/G8EYMDLX/Maniaci and Rogge - 2014 - Caring about carelessness Participant inattention.pdf; /Users/corymoore/Zotero/storage/H3RE8U79/S009265661300127X.html; /Users/corymoore/Zotero/storage/ZUTFYAS2/S009265661300127X.html; /Users/corymoore/Zotero/storage/BT5GIAQK/S009265661300127X.html; /Users/corymoore/Zotero/storage/QBKWY9HQ/S009265661300127X.html,,,Attentiveness; Careless responding; Inattentive responding; Random responding; Validity scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EJ35G2K6,journalArticle,2015,"Huang, Jason L.; Liu, Mengqiao; Bowling, Nathan A.",Insufficient effort responding: Examining an insidious confound in survey data,Journal of Applied Psychology,,1939-1854,10.1037/a0038510,,"Insufficient effort responding (IER; Huang, Curran, Keeney, Poposki, & DeShon, 2012) to surveys has largely been assumed to be a source of random measurement error that attenuates associations between substantive measures. The current article, however, illustrates how and when the presence of IER can produce a systematic bias that inflates observed correlations between substantive measures. Noting that inattentive responses as a whole generally congregate around the midpoint of a Likert scale, we propose that Mattentive, defined as the mean score of attentive respondents on a substantive measure, will be negatively related to IER’s confounding effect on substantive measures (i.e., correlations between IER and a given substantive measure will become less positive [or more negative] as Mattentive increases). Results from a personality questionnaire (Study 1) and a simulation (Study 2) consistently support the hypothesized confounding influence of IER. Using an employee sample (Study 3), we demonstrated how IER can confound bivariate relationships between substantive measures. Together, these studies indicate that IER can inflate the strength of observed relationships when scale means depart from the scale midpoints, resulting in an inflated Type I error rate. This challenges the traditional view that IER attenuates observed bivariate correlations. These findings highlight situations where IER may be a methodological nuisance, while underscoring the need for survey administrators and researchers to deter and detect IER in surveys. The current article serves as a wake-up call for researchers and practitioners to more closely examine IER in their data. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2015,9/8/22 21:39,10/6/22 19:06,,828-845,,3,100,,,Insufficient effort responding,,,,,,,,,,,,APA PsycNet,,Place: US Publisher: American Psychological Association,,/Users/corymoore/Zotero/storage/6ZBXHA2N/Huang et al_2015_Insufficient effort responding.pdf; /Users/corymoore/Zotero/storage/EBR9C47B/doiLanding.html; /Users/corymoore/Zotero/storage/SGP4GW8J/2014-55441-001.html; /Users/corymoore/Zotero/storage/RY9BV96M/doiLanding.html,,,careless responding; data screening and cleaning; insufficient effort responding; Personality Measures; random responding; response effort; Responses; Statistical Data; Surveys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3YPA8AX,journalArticle,2022,"Jones, Andrew; Earnest, Jessica; Adam, Martyna; Clarke, Ross; Yates, Jack; Pennington, Charlotte R.",Careless responding in crowdsourced alcohol research: A systematic review and meta-analysis of practices and prevalence,Experimental and Clinical Psychopharmacology,,1064-1297,10.1037/pha0000546,https://proxying.lib.ncsu.edu/index.php?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2022-28589-001&site=ehost-live&scope=site,"Crowdsourcing—the process of using the internet to outsource research participation to 'workers'—has considerable benefits, enabling research to be conducted quickly, efficiently, and responsively, diversifying participant recruitment, and allowing access to hard-to-reach samples. One of the biggest threats to this method of online data collection however is the prevalence of careless responders who can significantly affect data quality. The aims of this preregistered systematic review and meta-analysis were: (a) to examine the prevalence of screening for careless responding in crowdsourced alcohol-related studies; (b) to examine the pooled prevalence of careless responding; and (c) to identify any potential moderators of careless responding across studies. Our review identified 96 eligible studies (∼126,130 participants), of which 51 utilized at least one measure of careless responding, 53.2%, 95% CI [42.7%–63.3%]; ∼75,334 participants. Of these, 48 reported the number of participants identified by careless responding method(s) and the pooled prevalence rate was ∼11.7%, 95% CI [7.6%–16.5%]. Studies using the MTurk platform identified more careless responders compared to other platforms, and the number of careless response items was positively associated with prevalence rates. The most common measure of careless responding was an attention check question, followed by implausible response times. We suggest that researchers plan for such attrition when crowdsourcing participants and provide practical recommendations for handling and reporting careless responding in alcohol research. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022-08,9/8/22 22:50,10/6/22 19:07,9/8/22 22:50,381-399,,4,30,,Experimental and Clinical Psychopharmacology,Careless responding in crowdsourced alcohol research,Crowdsourcing Methods in Addiction Science: Emerging Research and Best Practices,,,,,,,,,,2022-28589-001,EBSCOhost,,Publisher: American Psychological Association,,/Users/corymoore/Zotero/storage/MVM4FKGZ/Jones et al_2022_Careless responding in crowdsourced alcohol research.pdf; /Users/corymoore/Zotero/storage/VRA7ANQ5/Jones et al_2022_Careless responding in crowdsourced alcohol research.pdf; /Users/corymoore/Zotero/storage/N694HFJ4/2022-28589-001.html,,,Alcohol Drinking Patterns; alcohol use research; Alcoholism; careless responding; crowdsourcing; Crowdsourcing; Data Collection; Experimental Attrition; insufficient effort responding; Internet; meta-analysis; Reaction Time; Research and Development; Threat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254T6WW5,journalArticle,2019,"Yu, Xiaofeng; Cheng, Ying",A change-point analysis procedure based on weighted residuals to detect back random responding,Psychological Methods,,1082-989X,10.1037/met0000212,https://proxying.lib.ncsu.edu/index.php?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2019-07788-001&site=ehost-live&scope=site,"Careless or inattentive responding is frequently observed in questionnaire or survey data, which jeopardizes test validity and the generalizability of research findings. It is therefore very important to detect such response behavior. The most frequently encountered type of careless response behavior is back random responding (BRR). Literature suggests that BRR is challenging to detect, with reported power of detection around .5 or lower. Change point analysis (CPA), which is a widely used statistical process control method, can be applied to item response data to detect if aberrant behavior exists in a response pattern. Existing CPA methods, however, may not be suitable for detecting BRR, because the change may not be directional. In this article we propose a weighted-residual-based CPA procedure to detect BRR behavior. The performance of the proposed method was evaluated in a comprehensive simulation study and compared against 3 existing CPA methods. Results indicated that the proposed residual-based CPA procedure can detect BRR behavior with high power for tests of 20 items or longer, while keeping the Type-I error rate well under control. Compared with the 3 existing CPA methods, it leads to comparable empirical Type-I error but a gain in power of 17%–42%. An empirical study further illustrated the utility of the proposed method to detect BRR with a real dataset. Implications of the proposed method, its limitations, as well as future directions are provided at the end. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",2019-10,9/9/22 14:19,10/6/22 20:56,9/9/22 14:19,658-674,,5,24,,Psychological Methods,,,,,,,,,,,,2019-07788-001,EBSCOhost,,Publisher: American Psychological Association,,/Users/corymoore/Zotero/storage/GNJXRKVE/2019-07788-001.html; /Users/corymoore/Zotero/storage/J5RJ4JMV/2019-07788-001.html; /Users/corymoore/Zotero/storage/VQGAXYUJ/Yu_Cheng_2019_A change-point analysis procedure based on weighted residuals to detect back.pdf,,,Attention; back random responding; carelessness; change point analysis; Empirical Methods; inattentiveness; Questionnaires; Responses; Simulation; Surveys; Test Items; Test Validity; Type I Errors; weighted residual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNP3EGDD,journalArticle,2015,"Huang, Jason L.; Bowling, Nathan A.; Liu, Mengqiao; Li, Yuhui",Detecting insufficient effort responding with an infrequency scale: Evaluating validity and participant reactions,Journal of Business and Psychology,,0889-3268,10.1007/s10869-014-9357-6,https://proxying.lib.ncsu.edu/index.php?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-22027-006&site=ehost-live&scope=site,"Purpose: Insufficient effort responding (IER), which occurs due to a lack of motivation to comply with survey instructions and to correctly interpret item content, represents a serious problem for researchers and practitioners who employ survey methodology (Huang et al. 2012). Extending prior research, we examine the validity of the infrequency approach to detecting IER and assess participant reactions to such an approach. Design/Methodology/Approach: Two online surveys (Studies 1 and 2) completed by employed undergraduates were utilized to assess the validity of the infrequency approach. An on-line survey of paid participants (Study 3) and a paper-and-pencil survey in an organization (Study 4) were conducted to evaluate participant reactions, using random assignment into survey conditions that either did or did not contain infrequency items. Findings: Studies 1 and 2 provided evidence for the reliability, unidimensionality, and criterion-related validity of the infrequency scales. Study 3 and Study 4 showed that surveys that contained infrequency items did not lead to more negative reactions than did surveys that did not contain such items. Implications: The current findings provide evidence of the effectiveness and feasibility of the infrequency approach for detecting IER, supporting its application in low-stakes organizational survey contexts. Originality/Value: The current studies provide a more in-depth examination of the infrequency approach to IER detection than had been done in prior research. In particular, the evaluation of participant reactions to infrequency scales represents a novel contribution to the IER literature. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2015-06,9/15/22 23:25,10/6/22 19:06,9/15/22 23:25,299-311,,2,30,,Journal of Business and Psychology,Detecting insufficient effort responding with an infrequency scale,,,,,,,,,,,2015-22027-006,EBSCOhost,,Publisher: Springer,,/Users/corymoore/Zotero/storage/K25NLM4T/Huang et al. - 2015 - Detecting insufficient effort responding with an i.pdf; /Users/corymoore/Zotero/storage/FPLT53TI/Huang et al. - 2015 - Detecting Insufficient Effort Responding with an I.pdf,,,Careless responding; Data screening; Databases; Energy Expenditure; Inconsistent responding; Insufficient effort responding; Online surveys; Online Surveys; Organizations; Random responding; Response Variability; Screening; Surveys; Test Taking; Test Validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNXILJXM,journalArticle,2021,"Bowling, Nathan A.; Gibson, Anthony M.; Houpt, Joseph W.; Brower, Cheyna K.",Will the questions ever end? Person-level increases in careless responding during questionnaire completion,Organizational Research Methods,,1094-4281,10.1177/1094428120947794,,"Is there a point within a self-report questionnaire where participants will start responding carelessly? If so, then after how many items do participants reach that point? And what can researchers do to encourage participants to remain careful throughout the entirety of a questionnaire? We conducted two studies (Study 1 N = 358; Study 2 N = 129) to address these questions. Our results found (a) consistent evidence that participants responded more carelessly as they progressed further into a questionnaire, (b) mixed evidence that participants who were warned that carelessness would be punished displayed smaller increases in carelessness, and (c) mixed evidence that increases in carelessness were greater within an unproctored online study (Study 1) than within a proctored laboratory study (Study 2). These findings help address when and why careless responding is likely to occur, and they suggest effective preventive strategies. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",2021-10,9/15/22 23:20,10/21/22 2:27,,718-738,,4,24,,Organizational Research Methods,Will the questions ever end?,,,,,,,,,,,2021-80588-004,EBSCOhost,,Publisher: Sage Publications,,/Users/corymoore/Zotero/storage/YWMV3XAI/Bowling et al_2021_Will the Questions Ever End.pdf; /Users/corymoore/Zotero/storage/5QHFKG62/Bowling et al_2021_Will the Questions Ever End.pdf; /Users/corymoore/Zotero/storage/GUEPPLFJ/Bowling et al_2021_Will the Questions Ever End.pdf; ; ,https://proxying.lib.ncsu.edu/index.php?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-80588-004&site=ehost-live&scope=site&scope=cite; https://proxying.lib.ncsu.edu/index.php?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-80588-004&site=ehost-live&scope=site&scope=cite,,careless responding; insufficient effort responding; questionnaire length; Questionnaires; random responding; response effort; Response Set; Self-Report; self-report questionnaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKJZ68JA,journalArticle,2019,"Leiner, Dominik Johannes","Too Fast, too Straight, too Weird: Non-Reactive Indicators for Meaningless Data in Internet Surveys",Survey Research Methods,,1864-3361,10.18148/srm/2019.v13i3.7403,https://ojs.ub.uni-konstanz.de/srm/article/view/7403,"Practitioners use various indicators to screen for meaningless, careless, or fraudulent responses in Internet surveys. This study employs an experimental-like design to empirically test the ability of non-reactive indicators to identify records with low data quality. Findings suggest that careless responses are most reliably identified by questionnaire completion time, but the tested indicators do not allow for detecting intended faking. The article introduces various indicators, their benefits and drawbacks, proposes a completion speed index for common application in data cleaning, and discusses whether to remove meaningless records at all.",12/10/19,9/16/22 13:56,10/5/22 23:12,9/16/22 13:56,229-248,,3,13,,,"Too Fast, too Straight, too Weird",,,,,,,en,Copyright (c) 2019 Dominik Johannes Leiner,,,,ojs.ub.uni-konstanz.de,,Number: 3,,"/Users/corymoore/Zotero/storage/K342C6CT/Leiner - 2019 - Too Fast, too Straight, too Weird Non-Reactive In.pdf",,,careless responding; data cleaning; meaningless data; online surveys; paradata; web based surveys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
