ID,title,year,authors,journal,doi,Notes,study_number,sample_source,sample_method,sample_platform,sample_mturk,sample_level,mturk_acceptance,sample_time,sample_size,sample_age,sample_incentive,sample_incentive_amount,sample_country,cr_multiple,cr_sequential,cr_total_amount,cr_1_method,cr_1_amount,cr_1_method_detail,cr_2_method,cr_2_amount,cr_2_method_detail,cr_3_method,cr_3_amount,cr_3_method_detail,cr_4_method,cr_4_amount,cr_4_method_detail,design_time,design_method,design_location,total_items
,"When are do-gooders treated badly? Legitimate power, role expectations, and reactions to moral objection in organizations",2016,"Wellman, Ned; Mayer, David M.; Ong, Madeline; DeRue, D. Scott",Journal of Applied Psychology,10.1037/apl0000094,,1,1,1,1,-1,-1,-1,1,244,43.14,2,-1,-1,1,0,5,1,-1,-1,3,-1,8,-1,-1,-1,-1,-1,-1,0,1,0,14
,"When are do-gooders treated badly? Legitimate power, role expectations, and reactions to moral objection in organizations",2016,"Wellman, Ned; Mayer, David M.; Ong, Madeline; DeRue, D. Scott",Journal of Applied Psychology,10.1037/apl0000094,,2,1,1,0,-1,-1,0.95,1,195,31.23,2,-1,0,1,0,9,1,-1,-1,3,-1,8,-1,-1,-1,-1,-1,-1,0,1,0,10
,"When are do-gooders treated badly? Legitimate power, role expectations, and reactions to moral objection in organizations",2016,"Wellman, Ned; Mayer, David M.; Ong, Madeline; DeRue, D. Scott",Journal of Applied Psychology,10.1037/apl0000094,,3,0,1,-1,-1,-1,-1,1,136,19.93,2,7,0,0,-1,2,3,2,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,8
,"Employee conscientiousness, agreeableness, and supervisor justice rule compliance: A three-study investigation",2017,"Huang, Jason L.; Cropanzano, Russell; Li, Andrew; Shao, Ping; Zhang, Xin-an; Li, Yuhui",Journal of Applied Psychology,10.1037/apl0000248,,2,1,1,0,-1,-1,-1,1,305,36,2,1,0,0,-1,17,0,17,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,37
,"Employee conscientiousness, agreeableness, and supervisor justice rule compliance: A three-study investigation",2017,"Huang, Jason L.; Cropanzano, Russell; Li, Andrew; Shao, Ping; Zhang, Xin-an; Li, Yuhui",Journal of Applied Psychology,10.1037/apl0000248,,2,1,1,0,-1,-1,-1,2,304,36,2,1.25,0,0,-1,18,0,18,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,38
,"Employee conscientiousness, agreeableness, and supervisor justice rule compliance: A three-study investigation",2017,"Huang, Jason L.; Cropanzano, Russell; Li, Andrew; Shao, Ping; Zhang, Xin-an; Li, Yuhui",Journal of Applied Psychology,10.1037/apl0000248,,2,1,1,0,-1,-1,-1,3,305,36,2,1,0,0,-1,15,0,15,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,45
,Fit and frustration as drivers of targeted counterproductive work behaviors: A multifoci perspective,2016,"Harold, Crystal M.; Oh, In-Sue; Holtz, Brian C.; Han, Soojung; Giacalone, Robert A.",Journal of Applied Psychology,10.1037/apl0000150,,1,2,2,-1,-1,4,-1,1,463,36.85,3,50,0,0,-1,10,3,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,17
,Fit and frustration as drivers of targeted counterproductive work behaviors: A multifoci perspective,2016,"Harold, Crystal M.; Oh, In-Sue; Holtz, Brian C.; Han, Soojung; Giacalone, Robert A.",Journal of Applied Psychology,10.1037/apl0000150,this paper was tricky to code - they used a longitudinal design and removed subjects bc of CR at each of the three time points. I added a sample_time column and reported the study across three rows ,2,1,1,0,-1,2,0.85,1,1254,35.84,2,1,0,1,0,227,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,22
,Fit and frustration as drivers of targeted counterproductive work behaviors: A multifoci perspective,2016,"Harold, Crystal M.; Oh, In-Sue; Holtz, Brian C.; Han, Soojung; Giacalone, Robert A.",Journal of Applied Psychology,10.1037/apl0000150,,2,1,1,0,-1,2,0.85,2,837,35.84,2,1,0,1,0,37,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,22
,Fit and frustration as drivers of targeted counterproductive work behaviors: A multifoci perspective,2016,"Harold, Crystal M.; Oh, In-Sue; Holtz, Brian C.; Han, Soojung; Giacalone, Robert A.",Journal of Applied Psychology,10.1037/apl0000150,,2,1,1,0,-1,2,0.85,3,698,35.84,2,1,0,1,0,29,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,22
