ID,title,year,authors,journal,doi,Notes,study_number,sample_source,sample_method,sample_platform,sample_mturk,sample_level,mturk_acceptance,sample_time,sample_size,sample_age,sample_incentive,sample_incentive_amount,sample_country,cr_multiple,cr_sequential,cr_total_amount,cr_1_method,cr_1_amount,cr_1_method_detail,cr_2_method,cr_2_amount,cr_2_method_detail,cr_3_method,cr_3_amount,cr_3_method_detail,cr_4_method,cr_4_amount,cr_4_method_detail,design_time,design_method,design_location,total_items
Wellman2016a,"When are do-gooders treated badly? Legitimate power, role expectations, and reactions to moral objection in organizations",2016,"Wellman, Ned; Mayer, David M.; Ong, Madeline; DeRue, D. Scott",Journal of Applied Psychology,10.1037/apl0000094,,1,1,1,1,-1,-1,-1.0,1,244,43.14,2,-1.0,-1,1,0,5,1,-1,-1,3,-1,8.0,-1,-1,-1,-1,-1,-1,0,1,0,14
Wellman2016b,"When are do-gooders treated badly? Legitimate power, role expectations, and reactions to moral objection in organizations",2016,"Wellman, Ned; Mayer, David M.; Ong, Madeline; DeRue, D. Scott",Journal of Applied Psychology,10.1037/apl0000094,,2,1,1,0,-1,-1,0.95,1,195,31.23,2,-1.0,0,1,0,9,1,-1,-1,3,-1,8.0,-1,-1,-1,-1,-1,-1,0,1,0,10
Wellman2016c,"When are do-gooders treated badly? Legitimate power, role expectations, and reactions to moral objection in organizations",2016,"Wellman, Ned; Mayer, David M.; Ong, Madeline; DeRue, D. Scott",Journal of Applied Psychology,10.1037/apl0000094,,3,0,1,-1,-1,-1,-1.0,1,136,19.93,2,7.0,0,0,-1,2,3,2,8,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,0,1,1,8
Huang2017a,"Employee conscientiousness, agreeableness, and supervisor justice rule compliance: A three-study investigation",2017,"Huang, Jason L.; Cropanzano, Russell; Li, Andrew; Shao, Ping; Zhang, Xin-an; Li, Yuhui",Journal of Applied Psychology,10.1037/apl0000248,,2,1,1,0,-1,-1,-1.0,1,305,36.0,2,1.0,0,0,-1,17,0,17,3,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,0,1,0,37
Huang2017b,"Employee conscientiousness, agreeableness, and supervisor justice rule compliance: A three-study investigation",2017,"Huang, Jason L.; Cropanzano, Russell; Li, Andrew; Shao, Ping; Zhang, Xin-an; Li, Yuhui",Journal of Applied Psychology,10.1037/apl0000248,,2,1,1,0,-1,-1,-1.0,2,304,36.0,2,1.25,0,0,-1,18,0,18,3,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,0,1,0,38
Huang2017c,"Employee conscientiousness, agreeableness, and supervisor justice rule compliance: A three-study investigation",2017,"Huang, Jason L.; Cropanzano, Russell; Li, Andrew; Shao, Ping; Zhang, Xin-an; Li, Yuhui",Journal of Applied Psychology,10.1037/apl0000248,,2,1,1,0,-1,-1,-1.0,3,305,36.0,2,1.0,0,0,-1,15,0,15,3,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,0,1,0,45
Taylor2019a,Breaking the cycle of abusive supervision: How disidentification and moral identity help the trickle-down change course,2019,"Taylor, Shannon G.; Griffith, Matthew D.; Vadera, Abhijeet K.; Folger, Robert; Letwin, Chaim R.",Journal of Applied Psychology,10.1037/apl0000360,,1,3,-1,4,-1,4,-1.0,1,413,37.0,2,-1.0,0,1,1,125,0,20,1,1,105,7.67,-1,-1,-1,-1,-1,-1,0,1,0,21
Schäpers2020a,"The role of Situations in Situational Judgment Tests: Effects on construct saturation, predictive validity, and applicant perceptions",2020,"Schäpers, Philipp; Mussel, Patrick; Lievens, Filip; König, Cornelius J.; Freudenstein, Jan-Philipp; Krumm, Stefan",Journal of Applied Psychology,10.1037/apl0000457,,1,3,1,-1,-1,4,-1.0,1,1237,51.05,4,-1.0,-1,1,0,145,0,-1,-1,0,-1,-1.0,-1,-1,-1,-1,-1,-1,0,1,0,58
Alessandri2021a,Where you came from and where you are going: The role of performance trajectory in promotion decisions,2021,"Alessandri, Guido; Cortina, José M.; Sheng, Zitong; Borgogni, Laura",Journal of Applied Psychology,10.1037/apl0000696,,2,1,1,0,-1,3,-1.0,1,283,-1.0,2,-1.0,-1,1,1,50,0,23,1,5,4,-1.0,3,12,20,-1,-1,-1,0,1,0,40
Greenbaum2022a,Managing my shame: Examining the effects of parental identity threat and emotional stability on work productivity and investment in parenting,2022,"Greenbaum, Rebecca L.; Deng, Yingli; Butts, Marcus M.; Wang, Cynthia S.; Smith, Alexis N.",Journal of Applied Psychology,10.1037/apl0000597,,1,1,1,0,-1,-1,0.9,1,297,36.29,2,2.5,0,0,-1,4,0,4,1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,1,1,0,13
